text_content,image_filename,user_age,past_flags,aggression,repetition,intent,language
Shukar hay Australia jeeta:),none.jpg,0,0,1,0,0,roman_urdu
mjhy pta tha k aus hi jeety ga :p,none.jpg,0,0,1,0,0,roman_urdu
ahan Australia ne really boht acha khela yyaar they desrves but newzealand ka frst time tha to un k liye feeling sad ..,none.jpg,0,0,0,0,0,roman_urdu
Tum Dono Ko kiya huwa hay?  :p,none.jpg,0,0,0,0,0,roman_urdu
Roni soraton :p,none.jpg,0,0,1,0,0,roman_urdu
Zakhumon pe namak na chirko :( hum dono NZ ko cheer kar rahy thy :(,none.jpg,0,0,0,0,0,roman_urdu
Hun tey WC hi muk gya :p,none.jpg,0,0,1,0,0,roman_urdu
Tabhi kehtay hain Kay achay bachay bet nahi lagatay :p ab bhukto,none.jpg,0,0,1,0,0,roman_urdu
kya choty bachy k pichy hi parr gayi ho :p,none.jpg,0,0,0,0,0,roman_urdu
Chalo Chod diya :p Jao kush raho :),none.jpg,0,0,1,0,0,roman_urdu
mehrbani apki :p,none.jpg,0,0,1,0,0,roman_urdu
{(baby}) itna chota sa hun phir bhi aap mere peeche par gayien hen......thankkx:blush:blush:blush,none.jpg,0,0,0,0,0,roman_urdu
Mujhe Bilkul bhi Samjha nai aata ye sab :-??,none.jpg,0,0,1,0,0,roman_urdu
chonka dainai walai to nahi thai khair :D,none.jpg,0,0,0,0,0,roman_urdu
sherrry khush raho bus,none.jpg,0,0,1,0,0,roman_urdu
JAZAKALLAAHU KHAER... bus aap ki duaen saath hongi tu INSHA'ALLAAH aisa hi rahega :),none.jpg,0,0,1,0,0,roman_urdu
tu yaar dil rakhney k liye hi boldetey :(,none.jpg,0,0,1,0,0,roman_urdu
mai ne poora ka poora apko dil mai rakha ..aap dil ki baat kar rahai hai chaddo jee :),none.jpg,0,0,0,0,0,roman_urdu
tussi gr8 ho g thnko shnko :D,none.jpg,0,0,1,0,0,roman_urdu
abey dil hey yaa de-freezer :s,none.jpg,0,0,0,0,0,roman_urdu
kia baat hey... ye dard b kam logo ko naseeb hota hey. MASHA'ALLAAH.... apni duaon mey aapko b yaad rakhengey INSHA'ALLAAH... :),none.jpg,0,0,1,0,0,roman_urdu
Wah! ghalib.. poora TM loot liya :p,none.jpg,0,0,0,0,0,roman_urdu
zarra e nawaazi hai aapki :),none.jpg,0,0,1,0,0,roman_urdu
Sab logo ko mubarak ho... Pakistan nay India ko Jeeta dia :) :S,none.jpg,0,0,1,0,0,roman_urdu
"kher mubarak ... no worries, better luck nxt time.........dey were nearly dere but unfortunately coz ov sum playerz aur kuch INDIAN players ki tite bowling n fielding ki wajah se harna para",none.jpg,0,0,0,0,0,roman_urdu
koi bat nhi..,none.jpg,0,0,1,0,0,roman_urdu
